Название услуги,Цена,Код услуги,Длительность,Категория,Рекомендации после приёма,Код по приказу №804н,Ставка НДС
"ДНК вируса Варицелла-Зостер (Varicella-Zoster virus), кровь, кач.",480.00,12.17.A1.202,3 дн,🧬 ПЦР диагностика & Генетика,,A26.05.042.001,
"РНК ВИЧ I типа, кровь, кач.",2900.00,12.18.A1.202,3 дн,🧬 ПЦР диагностика & Генетика,,A26.05.021.001,
"РНК ВИЧ I типа, кровь, колич.",7500.00,12.18.A2.202,3 дн,🧬 ПЦР диагностика & Генетика,,A26.05.021.005,
"Одновременное определение ДНК вируса гепатита В, РНК вируса гепатита С, РНК ВИЧ I типа, кровь, кач.",3500.00,12.21.D1.202,5 дн,🦠 Серология,,A26.05.020.004,
"ДНК парвовируса B19 (Parvovirus B19), кровь, колич. ",850.00,12.22.A2.202,4 дн,🧬 ПЦР диагностика & Генетика,,A26.05.032.002,
"РНК вируса краснухи (Rubella virus), кровь, кач.",970.00,12.23.A1.202,5 дн,🦠 Серология,,A26.07.010.001,
"ДНК аденовируса (типы 3, 2, 5, 4, 7, 12, 16, 40, 41, 48), кровь, кач.",1100.00,12.25.A1.202,3 дн,🧬 ПЦР диагностика & Генетика,,A26.08.022.001.001,
"ДНК вируса герпеса VII типа (Human Herpes virus VII), кровь, кач.",625.00,12.26.A1.202,7 дн,🦠 Серология,,A26.05.024.001,
"ПЦР-диагностика клещевого энцефалита, кровь, кач.",1035.00,12.31.A3,4 дн,🧬 ПЦР диагностика & Генетика,,A26.05.053.003,
"ПЦР-диагностика клещевых инфекций возбудителей боррелиоза (Borrelia burgdorferi), моноцитарного эрлихиоза (Ehrlichia chaffeensis) и анаплазмоза (Anaplasma phagocytophilum), кровь, кач.",2260.00,12.31.D1,4 дн,🦠 Серология,,A26.05.053.002,
"ДНК листерии (Listeria monocytogenes), кровь, кач.",550.00,12.4.A1.202,3 дн,🧬 ПЦР диагностика & Генетика,,A26.05.037.001,
"ДНК токсоплазмы (Toxoplasma gondii), кровь, кач.",520.00,12.5.A1.202,3 дн,🦠 Серология,,A26.05.013.001,
"ДНК микобактерии туберкулеза (Mycobacterium tuberculosis), кровь, кач.",580.00,12.6.A1.202,5 дн,🧬 ПЦР диагностика & Генетика,,A26.05.047.001,
"РНК вируса гепатита А, кровь, кач.",980.00,12.7.A1.202,5 дн,🦠 Серология,,A26.05.030.001,
"ДНК вируса гепатита B, кровь, кач.",750.00,12.8.A1.202,3 дн,🦠 Серология,,A26.05.020.001,
"ДНК вируса гепатита B, кровь, колич.",4500.00,12.8.A2.202,3 дн,🦠 Серология,,A26.05.020.002,
"ДНК ВГВ, генотип (A,B,C,D) кровь, кач.",2900.00,12.8.D2,7 дн,🧬 ПЦР диагностика & Генетика,,A26.05.020.003,
"РНК вируса гепатита C, кровь, кач.",900.00,12.9.A1.202,3 дн,🦠 Серология,,A26.05.019.001,
"РНК вируса гепатита C, кровь, колич.",3200.00,12.9.A2.202,5 дн,🦠 Серология,,A26.05.019.002,
"РНК ВГC, генотип (1a,1b,2,3a,4,5a,6) кровь, колич. ",4690.00,12.9.D1,7 дн,🧬 ПЦР диагностика & Генетика,,A26.05.019.005,
"РНК ВГC, генотип (1,2,3) кровь, кач.",1755.00,12.9.D2,5 дн,🧬 ПЦР диагностика & Генетика,,A26.05.019.003,
"РНК ВГС, генотип (1a, 1b, 2, 3a, 4, 5a, 6), кровь, кач.",2450.00,12.9.D3,7 дн,🧬 ПЦР диагностика & Генетика,,A26.05.019.004,
Клинический анализ крови без лейкоцитарной формулы (капиллярная кровь),510.00,1.2.D1,1 дн,🩺 Клинический анализ крови,,B03.016.002.006,
Клинический анализ крови с лейкоцитарной формулой (5DIFF) (капиллярная кровь),600.00,1.2.D2,1 дн,🩺 Клинический анализ крови,,B03.016.002.007,
Ретикулоциты (капиллярная кровь),445.00,1.2.D3,1 дн,🩺 Клинический анализ крови,,A12.05.123.002,
Клинический анализ крови (5 DIFF) с подсчетом лейкоцитарной формулы врачом КЛД (капилярная кровь),980.00,1.2.D4,1 дн,🩺 Клинический анализ крови,,B03.016.002.008,
СОЭ (капиллярная кровь),330.00,1.2.D5,1 дн,🩺 Клинический анализ крови,,A12.05.001.003,
ДНК стрептококков (Streptococcus species) ,940.00,13.11.A2.900,4 дн,🧬 ПЦР диагностика & Генетика,,A26.20.021.001,
ДНК Listeria monocytogenes,785.00,13.13.A1.900,1 дн,🧬 ПЦР диагностика & Генетика,,A26.05.037.003,
ДНК сальмонелл (Salmonella species),840.00,13.14.A1.101,3 дн,🦠 Серология,,A26.19.064.002,
ДНК возбудителя псевдотуберкулеза (Yersinia pseudotuberculosis),580.00,13.14.A5.101,7 дн,🧬 ПЦР диагностика & Генетика,,A26.19.067.002,
Диарогенные E.coli,1935.00,13.14.D1.101,3 дн,📋 Прочие анализы,,A26.19.069.001,
"РНК ротавирусов, норовирусов, астровирусов (Rotavirus/Norovirus/Astrovirus) в кале",1365.00,13.14.D3,3 дн,🧬 ПЦР диагностика & Генетика,,A26.19.074.003,
ДНК кандиды (Candida albicans ),510.00,13.15.A1.900,3 дн,🦠 Серология,,A26.21.055.001,
"ДНК кандиды (Сandida albicans), количественно",550.00,13.15.A2.900,1 дн,🦠 Серология,,A26.21.055.002,
ДНК грибов рода кандиды (Candida albicans/Candida glabrata/Candida krusei) с определением типа,845.00,13.15.D1.900,1 дн,🦠 Серология,,A26.21.055.004,
ДНК токсоплазмы (Toxoplasma gondii),510.00,13.16.A1.900,1 дн,🦠 Серология,,A26.05.013.002,
"ДНК токсоплазмы (Toxoplasma gondii), количественно",840.00,13.16.A2.900,1 дн,🦠 Серология,,A26.05.013.003,
ДНК трихомонады (Trichomonas vaginalis),505.00,13.17.A1.900,1 дн,🦠 Серология,,A26.20.026.003,
"ДНК трихомонады (Trichomonas vaginalis), количественно",550.00,13.17.A2.900,1 дн,🦠 Серология,,A26.20.026.004,
"ДНК цитомегаловируса (Cytomegalovirus, CMV)",450.00,13.18.A1.900,3 дн,🦠 Серология,,A26.08.058.001,
"ДНК цитомегаловируса (Cytomegalovirus, CMV), количественно",500.00,13.18.A2.900,3 дн,🦠 Серология,,A26.08.058.002,
ДНК вируса простого герпеса I типа (Herpes simplex virus I),410.00,13.19.A1.900,1 дн,🦠 Серология,,A26.06.045.001.002,
ДНК вируса простого герпеса II типа (Herpes simplex virus II),410.00,13.19.A2.900,1 дн,🦠 Серология,,A26.06.046.001.001,
ДНК вируса простого герпеса I и II типов (Herpes simplex virus I и II),480.00,13.19.A3.900,1 дн,🦠 Серология,,A26.05.035.003,
"ДНК вируса простого герпеса I типа (Herpes simplex virus I), количественно",510.00,13.19.A4.900,1 дн,🦠 Серология,,A26.06.045.001.001,
"ДНК вируса простого герпеса II типа (Herpes simplex virus II), количественно",510.00,13.19.A5.900,1 дн,🦠 Серология,,A26.06.046.001.002,
ДНК хламидии (Chlamydia trachomatis) ,485.00,13.1.A1.900,1 дн,🦠 Серология,,A26.20.020.003,
"ДНК хламидии (Chlamydia trachomatis), количественно",535.00,13.1.A3.900,1 дн,🦠 Серология,,A26.20.020.005,
ДНК вируса герпеса VI типа (Human Herpes virus VI),520.00,13.20.A1.900,1 дн,🦠 Серология,,A26.06.047.001.001,
"ДНК вируса герпеса VI типа (Human Herpes virus VI), количественно",560.00,13.20.A2.900,1 дн,🦠 Серология,,A26.06.047.001.002,
ДНК вируса Эпштейна-Барр (Epstein-Barr virus),440.00,13.21.A1.900,1 дн,🦠 Серология,,A26.08.059.001,
"ДНК вируса Эпштейна-Барр (Epstein-Barr virus), количественно",520.00,13.21.A2.900,1 дн,🦠 Серология,,A26.08.059.002,
ДНК вируса Варицелла-Зостер (Varicella-Zoster virus),505.00,13.22.A1.900,1 дн,🧬 ПЦР диагностика & Генетика,,A26.06.056.003,
"ДНК папилломавируса (Human Papillomavirus, ВПЧ) 16 типа",490.00,13.23.A1.900,1 дн,🧬 ПЦР диагностика & Генетика,,A26.21.008.001.002,
"ДНК папилломавируса (Human Papillomavirus, ВПЧ) 18 типа",490.00,13.23.A2.900,1 дн,🧬 ПЦР диагностика & Генетика,,A26.21.008.001.003,
"ДНК папилломавирусов ВПЧ) высокого канцерогенного риска (16-68 типов: 16,18,31,33,35,39,45,51,52,56,58,59,66,68) типирование,кол.",1330.00,13.23.A3.900,1 день,🧬 ПЦР диагностика & Генетика,,A26.21.008.001.007,
"ВПЧ-тест (Вектор-Бест) высокого канцерогенного риска (16-68 типов: 16, 18 с определением типа, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68 суммарно)",1970.00,13.23.D10,8 дн,🧬 ПЦР диагностика & Генетика,,A26.21.008.001.009,
"ДНК папилломавирусов (Human Papillomavirus, ВПЧ) 31/33 типов с определением типа",405.00,13.23.D1.900,1 дн,🧬 ПЦР диагностика & Генетика,,A26.21.008.001.005,
"ДНК папилломавирусов (Human Papillomavirus, ВПЧ) 6/11 типов с определением типа",710.00,13.23.D2.900,1 дн,🧬 ПЦР диагностика & Генетика,,A26.21.008.002,
"ДНК папилломавирусов (Human Papillomavirus, ВПЧ) 6/11 типов с определением типа, количественно",940.00,13.23.D3.900,1 дн,🧬 ПЦР диагностика & Генетика,,A26.21.008.001.001,
"ДНК папилломавирусов (Human Papillomavirus) 31/33 типов с определением типа, количественно",465.00,13.23.D4.900,1 дн,🧬 ПЦР диагностика & Генетика,,A26.21.008.001.006,
"ВПЧ-тест (ROCHE COBAS4800) высокого канцерогенного риска (16-68 типов: 16, 18 с определением типа, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68 без определения типа) ",2315.00,13.23.D5.900,8 дн,🧬 ПЦР диагностика & Генетика,,A26.21.008.001.011,
"ДНК папилломавирусов (Human Papoiilmavirus) высокого канцерогенного риска (16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59 типов)типирование",1395.00,13.23.D6.900,1 день,🧬 ПЦР диагностика & Генетика,,A26.21.008.001.008,
"ДНК папилломавирусов (HPV) СКРИНИНГ РАСШИРЕННЫЙ с определением 14 типов (Контроль взятия материала, типы 6, 11, 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59),типирование кол.",1465.00,13.23.H1,1 день,🧬 ПЦР диагностика & Генетика,,A26.21.008.001.010,
