Название услуги,Цена,Код услуги,Длительность
"Вирусы группы герпеса (EBV, CMV, HHV6), кол.",1570.00,13.30.H1,5 дн
ДНК возбудителей коклюша/паракоклюша/бронхосептикоза (Bordetella pertussis/Bordetella parapertussis/Bordetella bronchiseptica),1055.00,13.31.D1.900,3 дн
"Комплексное исследование ДНК менингококка, гемофильной палочки, стрептококка (Neisseria meningitidis, Haemophilus influenzae, Streptococcus pneumoniae), кач",1870.00,13.32.D2,3 дн
КолоноФлор (количественное определение состава микробиоты толстого кишечника методом ПЦР),5100.00,13.32.D4,8 дн
Энтерофлор (исследование состава микробиоты толстого кишечника у детей до 14 лет методом ПЦР),6090.00,13.32.D5,8 дн
"ПЦР-4 NCMT, кол.",2060.00,13.32.H5,1 дн
"ПЦР-4, NCMT, моча, кач.",1890.00,13.32.H6,1 дн
"ПЦР-4, NCMT, моча, колич.",2060.00,13.32.H7,1 дн
"ПЦР-12, эякулят, кач.",5745.00,13.32.H8,1 дн
"ПЦР-15, эякулят, кач.",7325.00,13.32.H9,1 дн
ДНК парвовируса B19 (Parvovirus B19),745.00,13.34.A1.900,4 дн
"ГельмоСкрин (выявление ДНК гельминтов в кале методом ПЦР: Ascaris lumbricoides, Enterobius vermicularis, Opisthorchis felineus, Taenia solium, Diphyllobothrium latum)",2500.00,13.34.D2,8 дн
"ПротоСкрин (выявление ДНК простейших в кале методом ПЦР: Lamblia (Giardia) intestinalis, Blastocystis hominis, Dientamoeba fragilis, Isospora belli, Cryptosporidium parvum, Entamoeba histolytica)",2450.00,13.36.D2,8 дн
ДНК пневмоцисты (Pneumocystis jirovecii (carinni)),765.00,13.37.A1.900,8 дн
"ДНК стрептококка (S. agalactiae), кол.",755.00,13.38.A1.900,3 дн
ДНК уреаплазмы (Ureaplasma urealyticum),510.00,13.3.A1.900,1 дн
ДНК уреаплазмы (Ureaplasma parvum),495.00,13.3.A2.900,1 дн
ДНК уреаплазмы (Ureaplasma species) ,510.00,13.3.A3.900,1 дн
"ДНК уреаплазмы (Ureaplasma species), количественно ",630.00,13.3.A4.900,1 дн
"ДНК уреаплазмы (Ureaplasma urealyticum), количественно",510.00,13.3.A5.900,1 дн
"ДНК уреаплазмы (Ureaplasma parvum), количественно",535.00,13.3.A6.900,1 дн
Флороценоз - бактериальный вагиноз,1545.00,13.44.D1.900,3 дн
ФЛОРОЦЕНОЗ- комплексное исследование,2450.00,13.44.D2.900,3 дн
ФЛОРОЦЕНОЗ,1935.00,13.44.D3.900,3 дн
ДНК вируса герпеса VII типа (Human Herpes virus VII),550.00,13.46.A1.900,7 дн
Андрофлор скрин,2325.00,13.48.D1.900,3 дн
Андрофлор,3165.00,13.48.D2.900,3 дн
ДНК гарднереллы (Gardnerella vaginalis) ,505.00,13.4.A1.900,1 дн
"ДНК гарднереллы (Gardnerella vaginalis), количественно",535.00,13.4.A2.900,1 дн
"МикозоСкрин (типирование ДНК Candida, Malassezia, Saccharomyces и Debaryomyces)",3320.00,13.52.A1,3 дн
"ДНК грибов дерматофитов (Trichophyton, Epidermophyton, Microsporum)",1365.00,13.52.D1,3 дн
ДНК бледной трепонемы (Treponema pallidum),510.00,13.5.A1.900,1 дн
ДНК гонококка (Neisseria gonorrhoeae) ,505.00,13.6.A1.900,1 дн
"ДНК гонококка (Neisseria gonorrhoeae), количественно",550.00,13.6.A2.900,3 дн
ДНК микобактерии туберкулеза (Mycobacterium tuberculosis),815.00,13.8.A1.900,1 дн
ДНК хеликобактера (Helicobacter pylori) (кал),980.00,13.9.A1.101,2 дн
"Посев на микрофлору отделяемого урогенитального тракта женщины с определением чувствительности к основному спектру антибиотиков, в т.ч. кандида",1495.00,14.11.A1.900,5-7 дн
"Посев на микрофлору отделяемого урогенитального тракта женщины с определением чувствительности к расширенному спектру антибиотиков, в т.ч. кандида ",2380.00,14.11.A2.900,5-7 дн
"Посев на микрофлору отделяемого урогенитального тракта женщины с определением чувствительности к основному спектру антибиотиков и бактериофагам, в т.ч. кандида ",1665.00,14.11.A3.900,5-7 дн
"Посев на микрофлору отделяемого урогенитального тракта женщины с определением чувствительности к расширенному спектру антибиотиков и бактериофагам, в т.ч. кандида ",2505.00,14.11.A4.900,5-7 дн
Дисбактериоз с определением чувствительности к антибиотикам и фагам,2320.00,14.12.A1.900,5-7 дн
Дисбактериоз с определением чувствительности к фагам,2050.00,14.12.A2.900,5-7 дн
"Посев на возбудителей кишечной инфекции (сальмонеллы, шигеллы) с определением чувствительности к антибиотикам",1495.00,14.12.A3.900,5-7 дн
Посев на золотистый стафилококк (Staphylococcus aureus) с определением чувствительности к антибиотикам,1220.00,14.12.A5.900,8 дн
Посев на иерсиниоз с определением чувствительности к антибиотикам,1130.00,14.12.A6.900,5-7 дн
Посев желчи на микрофлору с определением чувствительности к расширенному спектру антибиотиков и бактериофагам,2505.00,14.13.A1,5-7 дн
Комплексное исследование мокроты и БАЛ: посев на микрофлору c определением чувствительности к основному спектру антибиотиков и микроскопия мазка,2505.00,14.14.D1,7 дн
"Комплексное исследование мокроты (БАЛ): посев на микрофлору c определением чувствительности к основному спектру антибиотиков, бактериофагам и микроскопия мазка",2630.00,14.14.D2,7 дн
Комплексное исследование мокроты (БАЛ): посев на микрофлору c определением чувствительности к расширенному спектру антибиотиков и микроскопия мазка,2750.00,14.14.D3,7 дн
"Комплексное исследование мокроты (БАЛ): посев на микрофлору c определением чувствительности к расширенному спектру антибиотиков, бактериофагам и микроскопия мазка",2890.00,14.14.D4,7 дн
Исследование на биоценоз влагалища (диагностика бактериального вагиноза),2330.00,14.1.A5.900,5-7 дн
Посев на грибы рода кандида (Candida) с идентификацией и определением чувствительности к антимикотическим препаратам,1090.00,14.1.A6.900,5-7 дн
Посев на гемофильную палочку (Haemophylus influenzae) с определением чувствительности к антибиотикам,1080.00,14.1.A8.900,7 дн
"Посев на микоплазму и уреаплазму (Mycoplasma hominis, Ureaplasma species) с определением чувствительности к антибиотикам",2250.00,14.1.D33.900,5-7 дн
"Посев на микрофлору отделяемого других органов и тканей с определением чувствительности к основному спектру антибиотиков, в т.ч. кандида",1495.00,14.3.A1.900,5-7 дн
"Посев на микрофлору отделяемого других органов и тканей с определением чувствительности к расширенному спектру антибиотиков, в т.ч. кандида ",2380.00,14.3.A2.900,5-7 дн
"Посев на микрофлору отделяемого других органов и тканей с определением чувствительности к основному спектру антибиотиков и бактериофагам, в т.ч. кандида ",1665.00,14.3.A3.900,5-7 дн
"Посев на микрофлору отделяемого других органов и тканей с определением чувствительности к расширенному спектру антибиотиков и бактериофагам, в т.ч. кандида ",2505.00,14.3.A4.900,5-7 дн
"Посев на микрофлору отделяемого ЛОР-органов с определением чувствительности к основному спектру антибиотиков, в т.ч. кандида",1495.00,14.4.A1.900,7 дн
"Посев на микрофлору отделяемого ЛОР-органов с определением чувствительности к расширенному спектру антибиотиков, в т.ч. кандида ",2380.00,14.4.A2.900,7 дн
"Посев на микрофлору отделяемого ЛОР-органов с определением чувствительности к основному спектру антибиотиков и бактериофагам, в т.ч. кандида ",1665.00,14.4.A3.900,7 дн
"Посев на микрофлору отделяемого ЛОР-органов с определением чувствительности к расширенному спектру антибиотиков и бактериофагам, в т.ч. кандида ",2505.00,14.4.A4.900,7 дн
"Посев на микрофлору отделяемого конъюнктивы с определением чувствительности к основному спектру антибиотиков, в т.ч. кандида",1495.00,14.5.A1.900,7 дн
"Посев на микрофлору отделяемого конъюнктивы с определением чувствительности к расширенному спектру антибиотиков, в т.ч. кандида ",2380.00,14.5.A2.900,7 дн
"Посев на микрофлору отделяемого конъюнктивы с определением чувствительности к основному спектру антибиотиков и бактериофагам, в т.ч. кандида ",1665.00,14.5.A3.900,7 дн
"Посев на микрофлору отделяемого конъюнктивы с определением чувствительности к расширенному спектру антибиотиков и бактериофагам, в т.ч. кандида ",2505.00,14.5.A4.900,7 дн
